,name,url,address,city,"min_price, RUB","distance, km",service,rating,good_review,bad_review
191,Гостевой дом Баргузин,https://ostrovok.ru/hotel/russia/baykal/mid6523947/barguzin_inn_/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Улица Береговая, 14, Ольхон",Ольхон,"
3239 ",,Парковка; Подходит для детей; Спа-услуги; ,9.0,,
192,Гостевой Дом Ольхонский Дворик,https://ostrovok.ru/hotel/russia/baykal/mid6551325/olkhonsky_dvorik_guest_house_/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Ворошилова 11, Ольхон",Ольхон,"
5331 ",,; ; ; ; ; ,6.0,,
193,Эдем,https://ostrovok.ru/hotel/russia/baykal/mid8447278/cottage_edem/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Листвянка, ул. Чапаева , д.98, Листвянка",Листвянка,"
4795 ",267.0,Бесплатный интернет; Парковка; Подходит для детей; Бассейн; Бар или ресторан; ,5.0,,
194,Алдартай Отель,https://ostrovok.ru/hotel/russia/baykal/mid6756455/aldartay_hotel/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Улица Байкальская 59/1, Ольхон",Ольхон,"
4443 ",47.0,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,5.0,,
195,Отель Байкальская Сказка,https://ostrovok.ru/hotel/russia/baykal/mid7724899/baikalskaya_skazka_hotel/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Улица Кузнецова 11, Листвянка",Листвянка,"
6137 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,8.0,,
196,Baikal Hill Club,https://ostrovok.ru/hotel/russia/baykal/mid7849172/baikalskye_terema/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Gornaya Street 16, Listvyanka, Листвянка",Листвянка,"
5029 ",,Бесплатный интернет; Парковка; Бар или ресторан; Конференц-зал; Спа-услуги; ,6.0,,
197,Olga's Baikal Guesthouse,https://ostrovok.ru/hotel/russia/baykal/mid6926870/olgas_baikal_guesthouse/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"ул. Судзиловского, дом 11, Листвянка",Листвянка,"
3725 ",,Бесплатный интернет; Трансфер; ,9.0,,
198,Гостевой дом Элис,https://ostrovok.ru/hotel/russia/baykal/mid6384204/camping_elis/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Чапаева, д. 60, Листвянка",Листвянка,"
2705 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бассейн; ,,,
199,Мини-Отель У Озера,https://ostrovok.ru/hotel/russia/baykal/mid7893372/u_ozera_hotel/?guests=1&page=11&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Суворова, д.2, Листвянка",Листвянка,"
3239 ",268.0,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,8.0,,
200,Baikalskye Terema,https://ostrovok.ru/hotel/russia/baykal/mid8694226/baikalskye_terema_3/?guests=1&page=12&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"16 Gornaya Street, Листвянка",Листвянка,"
4142 ",,Бесплатный интернет; Парковка; Бар или ресторан; Конференц-зал; Спа-услуги; ,6.0,,
201,Ivolga,https://ostrovok.ru/hotel/russia/baykal/mid8672086/ivolga/?guests=1&page=12&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Байкальская Улица 19, Ольхон",Ольхон,"
4443 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,9.0,,
202,Гостевой Дом на Островского,https://ostrovok.ru/hotel/russia/baykal/mid7869941/guesthouse_at_ostrovskogo/?guests=1&page=12&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Улица Островского 5, Листвянка",Листвянка,"
5029 ",,Парковка; Подходит для детей; Бассейн; Бар или ресторан; Спа-услуги; ,5.0,,
203,Hotel Briz,https://ostrovok.ru/hotel/russia/baykal/mid7874853/hotel_briz_4/?guests=1&page=12&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"71 Gudina, Листвянка",Листвянка,"
5029 ",,Бесплатный интернет; Парковка; Разрешено с домашними животными; ,6.0,,
